               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11947,             0.02956,            0.029133,           0.0054828,            0.016667,           0.0011144,          0.00028806,             0.11856,            0.024852,            0.029408,               2e-05,               2e-05,             0.09982
                   1,              0.1189,            0.029936,            0.029167,           0.0043318,            0.016667,           0.0012865,          0.00029861,             0.11688,            0.024317,            0.028938,          4.5703e-05,          4.5703e-05,            0.099546
